First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Guy,Hebert,ANH,G,29,6,2,3,3,3,2,0,0,0,0,2,2,2,2
Ron,Tugnutt,ANH,G,1,2,2,3,3,3,1,0,0,0,0,1,1,1,2
Steven,King,ANH,F,27,7,2,2,3,2,2,1,3,2,3,3,4,2,2
Troy,Loney,ANH,F,24,10,2,3,2,3,2,4,6,2,1,3,2,1,3
Stu,Grimson,ANH,F,23,11,1,1,0,2,1,3,10,1,1,2,5,1,4
Terry,Yake,ANH,F,25,6,3,3,4,3,3,3,3,3,4,4,0,3,2
Bob,Corkum,ANH,F,30,10,2,2,1,3,2,2,3,2,2,3,5,2,2
Anatoli,Semenov,ANH,F,20,7,3,3,3,4,3,2,0,3,3,4,0,3,2
Lonnie,Loach,ANH,F,28,6,2,3,3,2,2,2,6,2,3,2,2,2,2
Robin,Bawa,ANH,F,26,11,2,2,1,1,2,1,5,1,4,1,3,2,3
Tim,Sweeney,ANH,F,41,5,2,2,3,2,2,1,0,2,2,1,4,1,1
Alexei,Kasatonov,ANH,D,7,11,4,3,2,3,4,4,4,4,1,3,1,4,2
Sean,Hill,ANH,D,38,8,2,2,2,2,2,3,5,2,1,2,3,1,4
Randy,Ladouceur,ANH,D,39,11,3,3,1,3,1,2,4,2,1,3,5,1,4
David,Williams,ANH,D,3,8,2,2,2,2,2,2,5,2,0,2,2,1,3
Bill,Houlder,ANH,D,33,11,3,2,3,3,2,3,4,2,2,2,4,2,1
Bobby,Dollas,ANH,D,32,11,2,1,1,2,1,2,1,1,0,2,1,1,1
Dennis,Vial,ANH,D,17,11,1,1,1,2,1,3,8,1,0,2,1,1,3
Andy,Moog,BOS,G,35,4,4,4,2,2,4,0,0,0,0,4,3,4,3
John,Blue,BOS,G,39,6,3,4,5,5,3,0,0,0,0,4,3,4,3
Adam,Oates,BOS,F,12,7,5,4,6,5,3,3,1,5,4,5,0,6,1
Dave,Poulin,BOS,F,19,7,4,3,3,4,3,4,4,3,3,4,1,4,2
Vladimir,Ruzicka,BOS,F,38,10,4,4,3,3,4,2,6,4,3,3,3,3,2
Ted,Donato,BOS,F,21,4,3,4,3,4,3,3,0,3,3,3,3,3,2
Joe,Juneau,BOS,F,49,5,4,4,4,3,4,2,0,4,3,4,0,4,1
Dmitri,Kvartalnov,BOS,F,10,6,4,4,4,2,3,2,0,4,3,4,2,4,1
Dave,Reid,BOS,F,17,9,2,3,3,3,3,1,4,2,4,4,4,2,0
Gregori,Pantaleyev,BOS,F,13,6,4,4,2,2,2,1,2,3,3,2,4,3,1
Brent,Hughes,BOS,F,42,6,3,3,1,3,2,3,6,3,2,2,5,3,4
Cam,Neely,BOS,F,8,10,4,4,5,4,4,4,9,4,5,5,3,4,4
Stephen,Leach,BOS,F,27,6,3,3,3,3,3,3,7,3,2,4,5,3,3
Stephen,Heinze,BOS,F,23,6,3,3,3,3,3,3,3,3,3,3,5,3,1
C.J.,Young,BOS,F,18,6,3,3,2,2,3,2,5,3,3,2,3,2,2
Darin,Kimble,BOS,F,29,9,1,1,2,1,1,2,9,2,4,1,3,1,5
Peter,Douris,BOS,F,16,8,3,4,3,3,3,2,5,3,3,2,4,2,1
Ray,Bourque,BOS,D,77,10,5,4,4,6,5,6,0,5,5,6,2,5,2
Don,Sweeney,BOS,D,32,4,4,4,3,4,4,4,4,4,1,4,1,4,2
Glen,Wesley,BOS,D,26,8,5,4,3,4,4,3,6,4,1,4,4,4,2
David,Shaw,BOS,D,34,9,2,2,2,4,2,3,3,2,2,4,5,2,3
Gord,Murphy,BOS,D,28,8,5,4,2,3,4,4,9,3,1,3,3,3,3
Gordie,Roberts,BOS,D,14,7,3,2,2,3,1,3,4,2,3,3,0,2,3
Glen,Feathrston,BOS,D,6,11,3,3,2,2,2,4,8,2,3,2,3,2,4
