First,Last,Abv,JNo,Pos,roster_index
Guy,Hebert,ANH,29,G,0
Ron,Tugnutt,ANH,1,G,1
Steven,King,ANH,27,F,2
Troy,Loney,ANH,24,F,3
Stu,Grimson,ANH,23,F,4
Terry,Yake,ANH,25,F,5
Bob,Corkum,ANH,30,F,6
Anatoli,Semenov,ANH,20,F,7
Lonnie,Loach,ANH,28,F,8
Robin,Bawa,ANH,26,F,9
Tim,Sweeney,ANH,41,F,10
Alexei,Kasatonov,ANH,7,D,11
Sean,Hill,ANH,38,D,12
Randy,Ladouceur,ANH,39,D,13
David,Williams,ANH,3,D,14
Bill,Houlder,ANH,33,D,15
Bobby,Dollas,ANH,32,D,16
Dennis,Vial,ANH,17,D,17
Andy,Moog,BOS,35,G,0
John,Blue,BOS,39,G,1
Adam,Oates,BOS,12,F,2
Dave,Poulin,BOS,19,F,3
Vladimir,Ruzicka,BOS,38,F,4
Ted,Donato,BOS,21,F,5
Joe,Juneau,BOS,49,F,6
Dmitri,Kvartalnov,BOS,10,F,7
Dave,Reid,BOS,17,F,8
Gregori,Pantaleyev,BOS,13,F,9
Brent,Hughes,BOS,42,F,10
Cam,Neely,BOS,8,F,11
Stephen,Leach,BOS,27,F,12
Stephen,Heinze,BOS,23,F,13
C.J.,Young,BOS,18,F,14
Darin,Kimble,BOS,29,F,15
Peter,Douris,BOS,16,F,16
Ray,Bourque,BOS,77,D,17
Don,Sweeney,BOS,32,D,18
Glen,Wesley,BOS,26,D,19
David,Shaw,BOS,34,D,20
Gordie,Roberts,BOS,14,D,21
Glen,Feathrston,BOS,6,D,22
Jim,Wiemer,BOS,36,D,23
Grant,Fuhr,BUF,31,G,0
Tom,Draper,BUF,35,G,1
Dominik,Hasek,BUF,39,G,2
Pat,LaFontaine,BUF,16,F,3
Dale,Hawerchuk,BUF,10,F,4
Bob,Sweeney,BUF,20,F,5
Dave,Hannan,BUF,14,F,6
Randy,Wood,BUF,19,F,7
Yuri,Khmylev,BUF,13,F,8
Brad,May,BUF,27,F,9
Bob,Errey,BUF,12,F,10
Rob,Ray,BUF,32,F,11
Alexnder,Mogilny,BUF,89,F,12
Wayne,Presley,BUF,18,F,13
Donald,Audette,BUF,28,F,14
Colin,Patterson,BUF,17,F,15
Doug,Bodger,BUF,8,D,16
Petr,Svoboda,BUF,7,D,17
Richard,Smehlik,BUF,42,D,18
Ken,Sutton,BUF,41,D,19
Grant,Ledyard,BUF,3,D,20
Gord,Donnelly,BUF,34,D,21
Randy,Moller,BUF,24,D,22
Keith,Carney,BUF,6,D,23
Mike,Vernon,CGY,30,G,0
Jeff,Reese,CGY,35,G,1
Joe,Nieuwendyk,CGY,25,F,2
Robert,Reichel,CGY,26,F,3
Joel,Otto,CGY,29,F,4
Gary,Roberts,CGY,10,F,5
Paul,Ranheim,CGY,28,F,6
Brent,Ashton,CGY,15,F,7
Chris,Lindberg,CGY,11,F,8
Craig,Berube,CGY,16,F,9
Theoren,Fleury,CGY,14,F,10
Sergei,Makarov,CGY,42,F,11
Greg,Paslawski,CGY,23,F,12
Ronnie,Stern,CGY,22,F,13
Gary,Suter,CGY,20,D,14
Al,MacInnis,CGY,2,D,15
Roger,Johansson,CGY,34,D,16
Trent,Yawney,CGY,18,D,17
Frank,Musil,CGY,3,D,18
Michel,Petit,CGY,7,D,19
Kevin,Dahl,CGY,4,D,20
Chris,Dahlquist,CGY,5,D,21
Greg,Smyth,CGY,6,D,22
Ed,Belfour,CHI,30,G,0
Jim,Waite,CHI,29,G,1
Jeremy,Roenick,CHI,27,F,2
Christan,Ruuttu,CHI,22,F,3
Brent,Sutter,CHI,12,F,4
Troy,Murray,CHI,19,F,5
Michel,Goulet,CHI,16,F,6
Stephane,Matteau,CHI,32,F,7
Greg,Gilbert,CHI,14,F,8
Jocelyn,Lemieux,CHI,26,F,9
Steve,Larmer,CHI,28,F,10
Dirk,Graham,CHI,33,F,11
Brian,Noonan,CHI,10,F,12
Dave,Christian,CHI,25,F,13
Joe,Murphy,CHI,17,F,14
Rob,Brown,CHI,44,F,15
Chris,Chelios,CHI,7,D,16
Steve,Smith,CHI,5,D,17
Bryan,Marchment,CHI,2,D,18
Frantsek,Kucera,CHI,6,D,19
Craig,Muni,CHI,3,D,20
Keith,Brown,CHI,4,D,21
Cam,Russell,CHI,8,D,22
Adam,Bennett,CHI,47,D,23
Jon,Casey,DAL,30,G,0
Darcy,Wakaluk,DAL,35,G,1
Mike,Modano,DAL,9,F,2
Dave,Gagner,DAL,15,F,3
Neal,Broten,DAL,7,F,4
Brent,Gilchrist,DAL,41,F,5
Mike,McPhee,DAL,17,F,6
Gaetan,Duchesne,DAL,10,F,7
Brian,Propp,DAL,16,F,8
Russ,Courtnall,DAL,26,F,9
Ulf,Dahlen,DAL,22,F,10
Mike,Craig,DAL,20,F,11
Trent,Klatt,DAL,29,F,12
Shane,Churla,DAL,27,F,13
Stewart,Gavin,DAL,12,F,14
Mark,Tinordi,DAL,24,D,15
Tommy,Sjodin,DAL,33,D,16
Jim,Johnson,DAL,6,D,17
Derian,Hatcher,DAL,2,D,18
Craig,Ludwig,DAL,3,D,19
Richard,Matvichuk,DAL,4,D,20
Mark,Osiecki,DAL,23,D,21
Brad,Berry,DAL,5,D,22
