ID,First,Last,Team,Pos,JNo,Wgt,Ovr,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr,Rank
1,Guy,Hebert,ANH,G,29,188,44,2,3,3,3,2,0,Right,0,0,2,2,2,2,Bad
2,Ron,Tugnutt,ANH,G,1,156,40,2,3,3,3,1,0,Right,0,0,1,1,1,2,Bad
3,Steven,King,ANH,F,27,196,47,2,2,3,2,2,1,Right,2,3,3,4,2,2,Bad
4,Troy,Loney,ANH,F,24,220,48,2,3,2,3,2,4,Left,2,1,3,2,1,3,Bad
5,Stu,Grimson,ANH,F,23,228,37,1,1,0,2,1,3,Left,1,1,2,5,1,4,Bad
6,Terry,Yake,ANH,F,25,188,66,3,3,4,3,3,3,Right,3,4,4,0,3,2,Average
7,Bob,Corkum,ANH,F,30,220,45,2,2,1,3,2,2,Right,2,2,3,5,2,2,Bad
8,Anatoli,Semenov,ANH,F,20,196,61,3,3,3,4,3,2,Left,3,3,4,0,3,2,Average
9,Lonnie,Loach,ANH,F,28,188,49,2,3,3,2,2,2,Left,2,3,2,2,2,2,Bad
10,Robin,Bawa,ANH,F,26,228,41,2,2,1,1,2,1,Right,1,4,1,3,2,3,Bad
11,Tim,Sweeney,ANH,F,41,180,44,2,2,3,2,2,1,Left,2,2,1,4,1,1,Bad
12,Alexei,Kasatonov,ANH,D,7,228,62,4,3,2,3,4,4,Left,4,1,3,1,4,2,Average
13,Sean,Hill,ANH,D,38,204,44,2,2,2,2,2,3,Right,2,1,2,3,1,4,Bad
14,Randy,Ladouceur,ANH,D,39,228,45,3,3,1,3,1,2,Left,2,1,3,5,1,4,Bad
15,David,Williams,ANH,D,3,204,42,2,2,2,2,2,2,Right,2,0,2,2,1,3,Bad
16,Bill,Houlder,ANH,D,33,228,49,3,2,3,3,2,3,Left,2,2,2,4,2,1,Bad
17,Bobby,Dollas,ANH,D,32,228,37,2,1,1,2,1,2,Right,1,0,2,1,1,1,Bad
18,Dennis,Vial,ANH,D,17,228,37,1,1,1,2,1,3,Left,1,0,2,1,1,3,Bad
1,Andy,Moog,BOS,G,35,172,59,4,4,2,2,4,0,Right,0,0,4,3,4,3,Good
2,John,Blue,BOS,G,39,188,62,3,4,5,5,3,0,Right,0,0,4,3,4,3,Average
3,Adam,Oates,BOS,F,12,196,93,5,4,6,5,3,3,Right,5,4,5,0,6,1,Elite
4,Dave,Poulin,BOS,F,19,196,68,4,3,3,4,3,4,Left,3,3,4,1,4,2,Average
5,Vladimir,Ruzicka,BOS,F,38,220,67,4,4,3,3,4,2,Left,4,3,3,3,3,2,Average
6,Ted,Donato,BOS,F,21,172,65,3,4,3,4,3,3,Left,3,3,3,3,3,2,Average
7,Joe,Juneau,BOS,F,49,180,72,4,4,4,3,4,2,Left,4,3,4,0,4,1,Good
8,Dmitri,Kvartalnov,BOS,F,10,188,69,4,4,4,2,3,2,Left,4,3,4,2,4,1,Average
9,Dave,Reid,BOS,F,17,212,53,2,3,3,3,3,1,Left,2,4,4,4,2,0,Bad
10,Gregori,Pantaleyev,BOS,F,13,188,54,4,4,2,2,2,1,Left,3,3,2,4,3,1,Bad
11,Brent,Hughes,BOS,F,42,188,50,3,3,1,3,2,3,Left,3,2,2,5,3,4,Bad
12,Cam,Neely,BOS,F,8,220,86,4,4,5,4,4,4,Right,4,5,5,3,4,4,Great
13,Stephen,Leach,BOS,F,27,188,59,3,3,3,3,3,3,Right,3,2,4,5,3,3,Bad
14,Stephen,Heinze,BOS,F,23,188,60,3,3,3,3,3,3,Right,3,3,3,5,3,1,Average
15,C.J.,Young,BOS,F,18,188,51,3,3,2,2,3,2,Right,3,3,2,3,2,2,Bad
16,Darin,Kimble,BOS,F,29,212,42,1,1,2,1,1,2,Right,2,4,1,3,1,5,Bad
17,Peter,Douris,BOS,F,16,204,59,3,4,3,3,3,2,Right,3,3,2,4,2,1,Bad
18,Ray,Bourque,BOS,D,77,220,99,5,4,4,6,5,6,Left,5,5,6,2,5,2,Elite
19,Don,Sweeney,BOS,D,32,172,71,4,4,3,4,4,4,Left,4,1,4,1,4,2,Good
20,Glen,Wesley,BOS,D,26,204,71,5,4,3,4,4,3,Left,4,1,4,4,4,2,Good
21,David,Shaw,BOS,D,34,212,49,2,2,2,4,2,3,Right,2,2,4,5,2,3,Bad
22,Gord,Murphy,BOS,D,28,204,63,5,4,2,3,4,4,Right,3,1,3,3,3,3,Average
23,Gordie,Roberts,BOS,D,14,196,49,3,2,2,3,1,3,Left,2,3,3,0,2,3,Bad
24,Glen,Feathrston,BOS,D,6,228,51,3,3,2,2,2,4,Left,2,3,2,3,2,4,Bad
25,Jim,Wiemer,BOS,D,36,220,41,2,1,2,2,1,2,Left,2,0,2,3,2,4,Bad
1,Grant,Fuhr,BUF,G,31,196,84,5,4,5,5,5,0,Left,0,0,4,4,5,5,Elite
2,Tom,Draper,BUF,G,35,188,44,2,3,3,3,2,0,Right,0,0,2,2,2,2,Bad
3,Dominik,Hasek,BUF,G,39,172,52,3,3,5,5,2,0,Right,0,0,2,2,2,2,Average
4,Pat,LaFontaine,BUF,F,16,180,91,5,4,6,4,3,3,Right,5,4,6,0,5,2,Elite
5,Dale,Hawerchuk,BUF,F,10,188,74,5,4,4,4,3,2,Left,5,1,3,0,5,2,Good
6,Bob,Sweeney,BUF,F,20,212,68,4,2,3,5,3,4,Right,3,4,4,2,3,3,Average
7,Dave,Hannan,BUF,F,14,188,47,2,2,2,3,2,2,Left,2,3,2,0,2,2,Bad
8,Randy,Wood,BUF,F,19,204,55,1,5,3,3,2,3,Left,2,2,3,4,2,3,Bad
9,Yuri,Khmylev,BUF,F,13,196,67,4,3,3,4,4,3,Right,3,4,3,3,3,2,Average
10,Brad,May,BUF,F,27,212,46,2,2,2,2,2,3,Left,2,3,2,5,1,4,Bad
11,Bob,Errey,BUF,F,12,188,63,4,4,2,4,2,4,Left,3,2,4,5,2,3,Average
12,Rob,Ray,BUF,F,32,220,46,3,4,1,1,1,3,Left,2,2,1,5,1,4,Bad
13,Alexnder,Mogilny,BUF,F,89,196,96,6,6,6,3,4,2,Left,5,5,4,4,5,2,Elite
14,Wayne,Presley,BUF,F,18,188,55,3,3,3,3,4,2,Right,2,3,3,3,2,3,Bad
15,Donald,Audette,BUF,F,28,180,57,3,3,3,3,3,2,Right,3,3,3,5,2,3,Bad
16,Bob,Corkum,BUF,F,29,220,45,2,2,1,3,2,2,Right,2,2,3,5,2,2,Bad
17,Colin,Patterson,BUF,F,17,204,55,4,4,2,3,1,3,Right,2,3,2,5,2,2,Bad
18,Doug,Bodger,BUF,D,8,220,53,2,3,3,4,2,3,Left,2,1,4,1,3,3,Bad
19,Petr,Svoboda,BUF,D,7,180,65,4,4,3,4,3,3,Left,4,0,4,0,3,3,Average
20,Richard,Smehlik,BUF,D,42,220,60,3,3,3,4,3,4,Left,3,1,3,0,3,2,Average
21,Ken,Sutton,BUF,D,41,204,45,2,2,2,4,2,1,Left,1,2,3,2,3,2,Bad
22,Grant,Ledyard,BUF,D,3,212,46,4,3,2,3,1,3,Left,1,0,2,3,2,3,Bad
23,Gord,Donnelly,BUF,D,34,212,43,1,2,2,3,1,3,Right,1,1,2,2,2,5,Bad
24,Randy,Moller,BUF,D,24,220,44,3,2,2,1,2,3,Right,2,1,1,1,2,4,Bad
25,Keith,Carney,BUF,D,6,212,46,2,3,2,1,2,3,Left,2,2,1,4,2,4,Bad
1,Mike,Vernon,CGY,G,30,172,63,3,4,4,4,4,0,Right,0,0,4,4,3,3,Average
2,Jeff,Reese,CGY,G,35,172,48,2,3,4,4,2,0,Right,0,0,2,2,3,3,Average
3,Joe,Nieuwendyk,CGY,F,25,204,74,4,4,4,3,4,3,Left,4,4,4,3,2,2,Good
4,Robert,Reichel,CGY,F,26,188,73,4,4,4,3,4,2,Left,4,4,3,2,4,2,Good
5,Joel,Otto,CGY,F,29,228,71,4,3,3,5,2,5,Right,3,4,4,1,2,4,Good
6,Brian,Skrudland,CGY,F,39,204,60,4,2,2,4,2,4,Left,3,3,4,4,3,4,Average
7,Gary,Roberts,CGY,F,10,196,85,4,4,5,4,4,4,Left,4,5,5,1,3,4,Great
8,Paul,Ranheim,CGY,F,28,204,66,4,4,3,4,3,1,Right,4,3,3,4,3,1,Average
9,Brent,Ashton,CGY,F,15,220,63,3,3,3,4,3,4,Left,3,2,4,4,3,3,Average
10,Chris,Lindberg,CGY,F,11,196,55,3,4,2,3,2,2,Left,3,3,2,3,2,1,Bad
11,Craig,Berube,CGY,F,16,212,40,2,3,1,1,2,2,Left,1,1,1,4,1,4,Bad
12,Theoren,Fleury,CGY,F,14,164,86,5,5,4,5,4,4,Right,4,3,6,1,3,3,Great
13,Sergei,Makarov,CGY,F,42,188,73,5,4,4,2,2,1,Left,5,4,3,0,5,2,Good
14,Greg,Paslawski,CGY,F,23,196,49,2,2,3,1,3,2,Right,3,4,2,2,2,0,Bad
15,Ronnie,Stern,CGY,F,22,204,45,2,2,2,1,2,3,Right,2,3,1,3,2,4,Bad
16,Gary,Suter,CGY,D,20,196,81,5,4,4,5,4,4,Left,4,2,5,2,4,3,Great
17,Al,MacInnis,CGY,D,2,204,73,4,4,4,3,6,3,Right,4,1,5,2,4,3,Good
18,Roger,Johansson,CGY,D,34,196,51,4,3,2,2,2,3,Left,3,1,2,3,3,2,Bad
19,Trent,Yawney,CGY,D,18,196,49,3,2,2,4,2,3,Left,3,0,3,1,3,3,Bad
20,Frank,Musil,CGY,D,3,212,53,4,4,2,3,2,3,Left,2,1,3,5,2,3,Bad
21,Michel,Petit,CGY,D,7,212,57,3,3,2,3,4,3,Right,4,1,3,3,3,3,Bad
22,Kevin,Dahl,CGY,D,4,196,52,2,3,2,4,2,3,Right,3,1,3,1,3,2,Bad
23,Chris,Dahlquist,CGY,D,5,204,51,3,3,1,4,3,3,Left,3,1,3,5,2,3,Bad
24,Alexnder,Godynyuk,CGY,D,21,220,47,2,3,2,2,2,3,Left,2,2,3,5,1,2,Bad
25,Greg,Smyth,CGY,D,6,220,29,0,0,1,0,0,1,Right,0,1,1,4,0,4,Bad
1,Ed,Belfour,CHI,G,30,188,98,6,4,6,6,5,0,Right,0,0,6,6,5,5,Elite
2,Jim,Waite,CHI,G,29,188,47,3,3,3,3,2,0,Right,0,0,2,2,3,3,Average
3,Jeremy,Roenick,CHI,F,27,172,89,5,5,4,4,5,2,Right,5,5,5,2,5,3,Great
4,Christan,Ruuttu,CHI,F,22,204,72,4,4,3,4,3,4,Left,4,2,4,2,4,3,Good
5,Brent,Sutter,CHI,F,12,188,71,3,2,4,5,3,4,Right,4,3,5,1,3,3,Good
6,Troy,Murray,CHI,F,19,204,58,4,3,2,4,2,4,Right,3,1,3,5,3,3,Bad
7,Michel,Goulet,CHI,F,16,204,61,4,3,3,3,2,2,Left,3,5,3,3,1,2,Average
8,Stephane,Matteau,CHI,F,32,204,48,2,2,3,2,1,3,Left,2,3,3,2,1,3,Bad
9,Greg,Gilbert,CHI,F,14,196,54,2,2,3,3,2,4,Left,3,3,3,1,1,2,Bad
10,Jocelyn,Lemieux,CHI,F,26,212,54,3,4,3,3,4,2,Left,2,2,2,2,1,3,Bad
11,Stu,Grimson,CHI,F,23,228,37,1,1,0,2,1,3,Left,1,1,2,5,1,4,Bad
12,Steve,Larmer,CHI,F,28,196,86,4,4,4,6,4,4,Left,4,4,6,3,4,2,Great
13,Dirk,Graham,CHI,F,33,204,67,4,3,3,5,3,4,Right,3,2,4,5,3,4,Average
14,Brian,Noonan,CHI,F,10,196,65,3,3,3,3,4,3,Right,4,3,4,5,3,3,Average
15,Dave,Christian,CHI,F,25,204,51,3,3,2,3,3,2,Right,3,1,3,2,3,1,Bad
16,Joe,Murphy,CHI,F,17,196,71,4,4,4,3,4,3,Left,3,3,4,2,4,3,Good
17,Rob,Brown,CHI,F,44,188,54,4,3,3,2,2,2,Left,4,1,2,0,2,4,Bad
18,Chris,Chelios,CHI,D,7,196,84,4,4,4,6,5,4,Right,5,1,6,2,4,5,Great
19,Steve,Smith,CHI,D,5,228,72,4,4,3,4,4,4,Left,4,1,5,2,4,4,Good
20,Bryan,Marchment,CHI,D,2,204,51,3,3,2,4,2,4,Left,2,1,3,2,1,5,Bad
21,Frantsek,Kucera,CHI,D,6,212,46,2,2,2,4,3,1,Right,2,1,3,4,2,2,Bad
22,Craig,Muni,CHI,D,3,212,45,2,2,1,3,2,4,Left,2,0,4,2,2,3,Bad
23,Keith,Brown,CHI,D,4,196,48,2,2,2,3,2,3,Right,3,1,3,4,3,3,Bad
24,Cam,Russell,CHI,D,8,180,49,3,3,1,3,2,3,Left,3,1,3,5,2,4,Bad
25,Adam,Bennett,CHI,D,47,212,39,2,2,1,1,1,2,Right,2,0,1,4,1,2,Bad
1,Jon,Casey,DAL,G,30,156,60,4,3,4,4,3,0,Right,0,0,2,2,3,4,Good
2,Darcy,Wakaluk,DAL,G,35,188,47,2,3,3,3,3,0,Right,0,0,2,2,3,2,Bad
3,Mike,Modano,DAL,F,9,196,82,5,5,4,4,5,2,Left,5,2,5,2,4,3,Great
4,Dave,Gagner,DAL,F,15,188,75,4,4,4,4,3,2,Left,4,4,4,2,4,4,Good
5,Neal,Broten,DAL,F,7,172,69,4,4,3,5,3,3,Left,3,2,4,3,4,1,Average
6,Brent,Gilchrist,DAL,F,41,188,55,4,3,2,2,3,2,Left,4,2,2,5,3,2,Bad
7,Bobby,Smith,DAL,F,18,220,53,3,3,2,3,2,2,Left,3,2,3,4,4,0,Bad
8,Mike,McPhee,DAL,F,17,212,59,4,3,3,3,3,4,Left,2,2,4,4,2,2,Bad
9,Gaetan,Duchesne,DAL,F,10,212,54,3,4,2,3,2,3,Left,2,3,3,5,1,1,Bad
10,Brian,Propp,DAL,F,16,204,55,3,3,3,2,3,3,Left,3,2,2,5,3,0,Bad
11,Russ,Courtnall,DAL,F,26,188,73,5,6,4,2,4,2,Right,3,3,3,4,3,2,Good
12,Ulf,Dahlen,DAL,F,22,204,70,3,4,4,3,3,2,Left,4,4,4,3,3,0,Average
13,Mike,Craig,DAL,F,20,188,62,3,3,3,3,3,3,Right,4,3,3,2,2,3,Average
14,Trent,Klatt,DAL,F,29,212,43,2,2,3,1,2,1,Right,2,1,1,1,2,2,Bad
15,Shane,Churla,DAL,F,27,212,43,1,2,2,2,1,2,Right,2,2,2,1,2,5,Bad
16,Stewart,Gavin,DAL,F,12,196,46,3,3,2,2,1,2,Left,2,2,2,5,1,3,Bad
17,Mark,Tinordi,DAL,D,24,212,65,3,3,3,4,4,4,Left,3,3,4,2,2,4,Average
18,Tommy,Sjodin,DAL,D,33,188,57,4,3,3,3,4,2,Right,3,1,3,3,3,1,Bad
19,Jim,Johnson,DAL,D,6,196,54,2,3,2,4,2,3,Left,3,1,4,1,4,3,Bad
20,Derian,Hatcher,DAL,D,2,212,47,3,2,2,3,2,2,Left,2,1,4,2,2,4,Bad
21,Craig,Ludwig,DAL,D,3,236,44,2,2,1,3,2,3,Left,2,0,3,4,2,4,Bad
22,Richard,Matvichuk,DAL,D,4,196,47,2,3,1,3,3,3,Left,3,0,3,5,2,2,Bad
23,Mark,Osiecki,DAL,D,23,212,40,2,2,1,2,2,2,Right,2,0,1,3,1,2,Bad
24,Brad,Berry,DAL,D,5,196,42,2,2,0,3,2,3,Left,2,0,3,5,1,4,Bad
25,Enrico,Ciccone,DAL,D,39,212,38,1,1,0,2,2,2,Left,2,0,3,5,2,5,Bad
1,Tim,Cheveldae,DET,G,32,188,69,4,4,4,4,4,0,Right,0,0,4,3,4,4,Good
2,Vincent,Riendeau,DET,G,37,188,45,3,3,2,2,2,0,Right,0,0,3,2,2,3,Bad
3,Steve,Yzerman,DET,F,19,188,95,6,5,6,4,4,1,Right,5,5,6,1,5,2,Elite
4,Sergei,Fedorov,DET,F,91,196,84,5,4,4,4,4,3,Left,5,4,4,1,5,3,Great
5,Dallas,Drake,DET,F,28,172,66,4,4,3,4,3,2,Left,3,3,4,1,3,3,Average
6,Mike,Sillinger,DET,F,23,196,55,3,3,3,3,2,2,Right,3,2,4,0,2,1,Bad
7,Vachslav,Kozlov,DET,F,13,180,53,4,3,2,2,3,1,Left,3,3,3,5,3,3,Bad
8,Paul,Ysebaert,DET,F,21,196,74,4,4,4,4,3,2,Left,4,4,3,3,4,2,Good
9,Shawn,Burr,DET,F,11,188,50,2,2,3,3,2,4,Left,2,2,3,1,2,3,Bad
10,Keith,Primeau,DET,F,55,228,56,3,3,3,4,3,1,Left,2,4,3,1,2,4,Bad
